Date,Utility,SARS_CoV_2_copies_L,Number_of_New_COVID19_Cases_by_,ObjectId
08/15/2020,Metro Wastewater RWHTF - PRC,,36,1
08/11/2020,Broomfield,,0,2
08/15/2020,Northglenn,,0,3
08/11/2020,CO Springs - JD Phillips,,6,4
08/11/2020,CO Springs - Las Vegas,,22,5
08/15/2020,Pueblo,,5,6
08/08/2020,South Adams County,,7,7
08/02/2020,Aurora,,10,8
08/15/2020,Pueblo West,,0,9
08/04/2020,Fort Collins - Boxelder,,0,10
08/06/2020,Loveland,,0,11
08/11/2020,Estes Park + Upper Thompson,,0,12
08/02/2020,Boulder,,0,13
08/08/2020,South Fort Collins,,0,14
08/15/2020,South Adams County,,0,15
08/06/2020,Metro Wastewater RWHTF - CC,17308.9,40,16
08/04/2020,Fort Collins - Drake,,7,17
08/02/2020,Broomfield,12868.8,0,18
08/11/2020,Fort Collins - Boxelder,,0,19
08/06/2020,Metro Wastewater RWHTF - PRC,7078.3,53,20
08/08/2020,SPR,,8,21
08/15/2020,South Fort Collins,,0,22
08/02/2020,CO Springs - JD Phillips,24177.4,5,23
08/04/2020,Fort Collins - Mulberry,,5,24
08/06/2020,Northglenn,,7,25
08/08/2020,Wellington Water and Sewer,,0,26
08/11/2020,Fort Collins - Drake,,7,27
08/15/2020,SPR,,7,28
08/02/2020,CO Springs - Las Vegas,50393.5,15,29
08/09/2020,Aurora,,20,30
08/06/2020,Pueblo,17677.7,6,31
08/04/2020,Greeley,,0,32
08/15/2020,Wellington Water and Sewer,,0,33
08/11/2020,Fort Collins - Mulberry,,0,34
08/06/2020,Pueblo West,,0,35
08/09/2020,Boulder,,0,36
08/02/2020,Estes Park + Upper Thompson,4811.4,0,37
08/16/2020,Aurora,,13,38
08/04/2020,Longmont,,0,39
08/09/2020,Broomfield,,0,40
08/06/2020,South Adams County,0,7,41
08/11/2020,Greeley,,6,42
08/02/2020,Fort Collins - Boxelder,71341.9,0,43
08/16/2020,Boulder,,0,44
08/06/2020,South Fort Collins,19275.9,0,45
08/09/2020,CO Springs - JD Phillips,,0,46
08/04/2020,Louisville,,0,47
08/11/2020,Longmont,,0,48
08/02/2020,Fort Collins - Drake,1322.7,0,49
08/16/2020,Broomfield,,0,50
08/11/2020,Louisville,,0,51
08/09/2020,CO Springs - Las Vegas,,13,52
08/04/2020,Loveland,,0,53
08/06/2020,SPR,15333.7,11,54
08/02/2020,Fort Collins - Mulberry,0,0,55
08/16/2020,CO Springs - JD Phillips,,5,56
08/04/2020,Metro Wastewater RWHTF - CC,,31,57
08/09/2020,Estes Park + Upper Thompson,,0,58
08/11/2020,Loveland,,0,59
08/06/2020,Wellington Water and Sewer,,0,60
08/09/2020,Fort Collins - Boxelder,,0,61
08/04/2020,Metro Wastewater RWHTF - PRC,,51,62
08/02/2020,Greeley,3512.1,0,63
08/16/2020,CO Springs - Las Vegas,,12,64
08/11/2020,Metro Wastewater RWHTF - CC,,32,65
08/04/2020,Northglenn,,0,66
08/02/2020,Longmont,,0,67
08/07/2020,Aurora,,29,68
08/09/2020,Fort Collins - Drake,,0,69
08/16/2020,Estes Park + Upper Thompson,,0,70
08/07/2020,Boulder,,0,71
08/02/2020,Louisville,1256.1,0,72
08/04/2020,Pueblo,,5,73
08/11/2020,Metro Wastewater RWHTF - PRC,,49,74
08/09/2020,Fort Collins - Mulberry,,0,75
